Peak positions,,,
Peak ID,Peak Name,value,error
0,Ru105,9565.120482,0.597842939
1,Tc105,9847.856931,0.166371753
2,Mo105,10212.44386,0.101283731
3,Nb105,10770.0145,0.152767134
4,Zr105,11406.97869,0.7583997
5,contam,11632.03518,1.293395503
6,Ru103,14054.78652,2.128597383
7,Tc103,14256.85838,0.701138524
8,Mo103,14534.90394,0.152410151
9,Nb103,14989.19122,0.135688804
10,Zr103,15542.94582,0.185833816
11,Y103,15812.21496,0.526594953
,,,
Shape parameters,,,
id,value,error,
0,0.583845143,0.008557734,
0,0.807676888,0.006935668,
0,7.471252046,0.094533738,
0,1.00E-05,0,
0,1.00E-05,0,
1,1.00E-05,0,
1,1.00E-05,0,
2,1.00E-05,0,
2,1.00E-05,0,
3,1.00E-05,0,
3,1.00E-05,0,
4,1.00E-05,0,
4,1.00E-05,0,
5,1.00E-05,0,
5,1.00E-05,0,
6,8.244760006,0.107845025,
6,1.00E-05,0,
6,1.00E-05,0,
7,1.00E-05,0,
7,1.00E-05,0,
8,1.00E-05,0,
8,1.00E-05,0,
9,1.00E-05,0,
9,1.00E-05,0,
10,1.00E-05,0,
10,1.00E-05,0,
11,1.00E-05,0,
11,1.00E-05,0,
